source,target,source_index,target_index,total_effect
component_10,component_41,9,40,3.965925900435949e-05
component_10,component_42,9,41,0.0019728027805735507
component_10,component_43,9,42,8.676611687940688e-05
component_10,component_44,9,43,3.2502451673213386e-05
component_10,component_45,9,44,0.00039412559500930826
component_10,component_46,9,45,0.0004052027418900057
component_10,component_47,9,46,0.09611476238458928
component_10,component_48,9,47,8.35494524845292e-05
component_10,component_49,9,48,2.2735753554996487e-05
component_10,component_50,9,49,0.00028278640738817385
component_10,component_51,9,50,3.7473149641817504e-05
component_10,component_52,9,51,4.976254502336646e-06
component_10,component_53,9,52,1.084232214313312e-05
component_10,component_54,9,53,0.030220506256339687
component_10,component_55,9,54,2.626316954915928e-05
component_10,component_56,9,55,8.031371610124699e-05
component_10,component_57,9,56,4.117618232723927e-05
component_10,component_58,9,57,2.1173408169853995e-06
component_10,component_59,9,58,0.0009129669768395897
component_10,component_60,9,59,5.298782203971343e-05
component_11,component_01,10,0,9.278330062206067e-05
component_11,component_02,10,1,6.971827604627959e-06
component_11,component_03,10,2,0.020382847817443733
component_11,component_04,10,3,0.0003267754518310118
component_11,component_05,10,4,0.0011933647781256287
component_11,component_06,10,5,5.476447287063125e-07
component_11,component_07,10,6,1.902186695669336e-05
component_11,component_08,10,7,2.4388055587815093e-05
component_11,component_09,10,8,0.022016442932515187
component_11,component_10,10,9,0.0007918614625857983
component_11,component_12,10,11,0.02628871091402728
component_11,component_13,10,12,1.5885492241487919e-06
component_11,component_14,10,13,0.0007684506719458843
component_11,component_15,10,14,0.0013503751430608423
component_11,component_16,10,15,3.6494275520352605e-07
component_11,component_17,10,16,2.2925760890570564e-06
component_11,component_18,10,17,6.75473619447527e-05
component_11,component_19,10,18,0.0008649537752515994
component_11,component_20,10,19,0.0008548791615831498
component_11,component_21,10,20,2.094907457534865e-05
component_11,component_22,10,21,4.427133766509889e-05
component_11,component_23,10,22,0.0008332189686363131
component_11,component_24,10,23,3.6271795466112304e-05
component_11,component_25,10,24,0.0003846651046846287
