source,mediator,target,source_index,mediator_index,target_index,amce
component_02,component_08,component_14,1,7,13,1.3595301950921605e-05
component_02,component_12,component_14,1,11,13,0.0003484674171211406
component_02,component_29,component_14,1,28,13,8.29486916208441e-07
component_02,component_38,component_14,1,37,13,2.6359605182184587e-07
component_02,component_59,component_14,1,58,13,1.932029404964272e-06
component_02,component_08,component_15,1,7,14,7.456910351926867e-09
component_02,component_12,component_15,1,11,14,6.940294035378821e-09
component_02,component_29,component_15,1,28,14,6.492364077805848e-08
component_02,component_38,component_15,1,37,14,3.880923988772145e-06
component_02,component_59,component_15,1,58,14,2.1621092080998527e-08
component_02,component_08,component_16,1,7,15,1.0222145155275249e-05
component_02,component_12,component_16,1,11,15,2.0621092075828536e-07
component_02,component_29,component_16,1,28,15,4.60523123877007e-06
component_02,component_38,component_16,1,37,15,1.5793029985721178e-07
component_02,component_59,component_16,1,58,15,7.167464080877046e-08
component_02,component_08,component_17,1,7,16,3.9060749154045916e-05
component_02,component_12,component_17,1,11,16,3.96365108090648e-05
component_02,component_29,component_17,1,28,16,0.0003113656546284452
component_02,component_38,component_17,1,37,16,2.6302730332461054e-06
component_02,component_59,component_17,1,58,16,5.452366833612757e-06
component_02,component_08,component_18,1,7,17,3.5465259881677557e-07
component_02,component_12,component_18,1,11,17,3.7403137955117603e-07
component_02,component_29,component_18,1,28,17,3.834988374438148e-06
component_02,component_38,component_18,1,37,17,1.7238426415857894e-07
component_02,component_59,component_18,1,58,17,1.2714996959603707e-06
component_02,component_08,component_19,1,7,18,0.0008139228160354428
component_02,component_12,component_19,1,11,18,0.00038578816498628085
component_02,component_29,component_19,1,28,18,2.283519680632041e-05
component_02,component_38,component_19,1,37,18,1.1737402174554443e-05
component_02,component_59,component_19,1,58,18,8.91917879778847e-05
component_02,component_08,component_20,1,7,19,2.431581269070808e-06
component_02,component_12,component_20,1,11,19,8.992594291608502e-06
component_02,component_29,component_20,1,28,19,3.0011276077902477e-05
component_02,component_38,component_20,1,37,19,1.93018436446464e-06
component_02,component_59,component_20,1,58,19,4.931185369542462e-07
component_02,component_08,component_21,1,7,20,6.364128780703557e-07
component_02,component_12,component_21,1,11,20,3.162110896530971e-07
component_02,component_29,component_21,1,28,20,2.984339475589706e-08
component_02,component_38,component_21,1,37,20,2.743790577797591e-06
component_02,component_59,component_21,1,58,20,4.177424215685533e-08
component_02,component_08,component_22,1,7,21,4.941519639705368e-06
component_02,component_12,component_22,1,11,21,1.0738144779640072e-06
component_02,component_29,component_22,1,28,21,1.623221271774254e-07
component_02,component_38,component_22,1,37,21,4.826952583924092e-07
component_02,component_59,component_22,1,58,21,2.4013318989242502e-06
component_02,component_08,component_23,1,7,22,7.047584537309059e-07
component_02,component_12,component_23,1,11,22,2.846513761885621e-07
component_02,component_29,component_23,1,28,22,3.47852072703073e-07
component_02,component_38,component_23,1,37,22,3.1641216119974426e-07
component_02,component_59,component_23,1,58,22,3.0684495746701045e-06
component_02,component_08,component_24,1,7,23,1.085377119860333e-08
component_02,component_12,component_24,1,11,23,1.1599630171679635e-08
component_02,component_29,component_24,1,28,23,1.1914888452275381e-07
component_02,component_38,component_24,1,37,23,5.754166225260754e-09
component_02,component_59,component_24,1,58,23,3.8783415126412806e-08
component_02,component_08,component_25,1,7,24,2.3910327111183535e-08
component_02,component_12,component_25,1,11,24,1.1433243349488319e-08
component_02,component_29,component_25,1,28,24,5.988299777337808e-08
component_02,component_38,component_25,1,37,24,9.058032314443996e-08
component_02,component_59,component_25,1,58,24,2.35487915214671e-08
component_02,component_08,component_26,1,7,25,1.1771692777764196e-05
component_02,component_12,component_26,1,11,25,2.0624419492906753e-07
component_02,component_29,component_26,1,28,25,4.380683951106171e-07
component_02,component_38,component_26,1,37,25,4.483902424054938e-06
component_02,component_59,component_26,1,58,25,0.00011140369569033142
component_02,component_08,component_27,1,7,26,0.00045769884921587875
component_02,component_12,component_27,1,11,26,1.0945055036235871e-05
component_02,component_29,component_27,1,28,26,1.3191088656389956e-05
component_02,component_38,component_27,1,37,26,6.613905562287651e-06
component_02,component_59,component_27,1,58,26,0.0002510632336790291
component_02,component_08,component_28,1,7,27,9.751306127077099e-08
component_02,component_12,component_28,1,11,27,2.1190027485024524e-08
component_02,component_29,component_28,1,28,27,3.2031700139105225e-09
component_02,component_38,component_28,1,37,27,9.525226193280107e-09
component_02,component_59,component_28,1,58,27,4.738648061008594e-08
component_02,component_08,component_29,1,7,28,9.214941676221467e-06
component_02,component_12,component_29,1,11,28,0.0015049552656083312
component_02,component_38,component_29,1,37,28,1.3705076895227087e-07
component_02,component_59,component_29,1,58,28,3.2381785928283405e-07
component_02,component_08,component_30,1,7,29,2.571915073852376e-05
component_02,component_12,component_30,1,11,29,2.7252507989095402e-05
component_02,component_29,component_30,1,28,29,9.844752231487016e-07
component_02,component_38,component_30,1,37,29,3.9863701363771993e-07
component_02,component_59,component_30,1,58,29,0.00015793958746574744
component_02,component_08,component_31,1,7,30,4.9845131059339056e-11
component_02,component_12,component_31,1,11,30,2.2929367776580995e-10
component_02,component_29,component_31,1,28,30,2.601378650870238e-09
component_02,component_38,component_31,1,37,30,5.7771062920549e-10
component_02,component_59,component_31,1,58,30,2.89188323167666e-11
component_02,component_08,component_32,1,7,31,8.282252994319079e-07
component_02,component_12,component_32,1,11,31,9.174023437817635e-07
component_02,component_29,component_32,1,28,31,5.25499888132569e-06
component_02,component_38,component_32,1,37,31,2.050111839775405e-06
component_02,component_59,component_32,1,58,31,1.4020242946595483e-07
component_02,component_08,component_33,1,7,32,1.175578650370155e-05
component_02,component_12,component_33,1,11,32,1.0145564203864792e-06
component_02,component_29,component_33,1,28,32,4.698470844393071e-06
component_02,component_38,component_33,1,37,32,2.397490088093483e-07
component_02,component_59,component_33,1,58,32,6.198618195271735e-06
component_02,component_08,component_34,1,7,33,2.8442028115714517e-08
component_02,component_12,component_34,1,11,33,2.12146054314098e-08
component_02,component_29,component_34,1,28,33,1.8925539115144504e-07
component_02,component_38,component_34,1,37,33,1.9984488199862823e-07
component_02,component_59,component_34,1,58,33,6.723805003931598e-08
component_02,component_08,component_35,1,7,34,0.0006100027032857405
component_02,component_12,component_35,1,11,34,2.0566199576121115e-06
component_02,component_29,component_35,1,28,34,3.109799820442169e-05
component_02,component_38,component_35,1,37,34,1.1382988859527157e-05
component_02,component_59,component_35,1,58,34,1.0608748192711008e-07
component_02,component_08,component_36,1,7,35,1.8152842476905033e-05
component_02,component_12,component_36,1,11,35,1.1078024152396422e-05
component_02,component_29,component_36,1,28,35,6.442276854014277e-07
component_02,component_38,component_36,1,37,35,1.307624785176346e-05
component_02,component_59,component_36,1,58,35,2.448978001823075e-06
component_02,component_08,component_37,1,7,36,1.3902862039257375e-05
component_02,component_12,component_37,1,11,36,2.388058160060333e-07
component_02,component_29,component_37,1,28,36,9.828251852653889e-07
component_02,component_38,component_37,1,37,36,0.00031298974975122986
component_02,component_59,component_37,1,58,36,1.428970014738523e-06
component_02,component_08,component_38,1,7,37,1.4610072828579885e-06
component_02,component_12,component_38,1,11,37,1.1327232508771026e-06
component_02,component_29,component_38,1,28,37,5.248670004381662e-08
component_02,component_59,component_38,1,58,37,2.7746120063505186e-06
component_02,component_08,component_39,1,7,38,5.0375376204936485e-08
component_02,component_12,component_39,1,11,38,2.9981978915283897e-07
component_02,component_29,component_39,1,28,38,4.345023090361769e-06
component_02,component_38,component_39,1,37,38,1.3104020292696674e-07
component_02,component_59,component_39,1,58,38,5.3908260550394515e-09
component_02,component_08,component_40,1,7,39,2.2387612850399235e-08
component_02,component_12,component_40,1,11,39,1.7484228342146233e-08
component_02,component_29,component_40,1,28,39,5.708771416933288e-09
component_02,component_38,component_40,1,37,39,0.00028413011462903
component_02,component_59,component_40,1,58,39,4.267823523001157e-08
component_02,component_08,component_41,1,7,40,7.879546467171553e-07
component_02,component_12,component_41,1,11,40,2.600036676770321e-07
