source,target,source_index,target_index,direct_effect,raw_ei
component_58,component_54,57,53,0.025454340181077312,0.025454340181077312
component_58,component_59,57,58,0.022173373833487556,0.022173373833487556
component_59,component_11,58,10,0.008582713355913558,0.008582713355913558
component_59,component_33,58,32,0.008081324696365168,0.008081324696365168
component_59,component_39,58,38,0.007272096771721662,0.007272096771721662
component_59,component_46,58,45,0.011737429622117376,0.011737429622117376
component_59,component_51,58,50,0.012656302584513923,0.012656302584513923
component_60,component_24,59,23,0.0246985444554117,0.0246985444554117
component_60,component_25,59,24,0.014496713669338804,0.014496713669338804
component_60,component_29,59,28,0.01576669947407375,0.01576669947407375
component_60,component_40,59,39,0.014752575368703714,0.014752575368703714
component_60,component_56,59,55,0.034000655679328945,0.034000655679328945
