model,horizon,component,rmse,mae,corr
MLP,1,component_35,0.8040835346491327,0.6486864903223627,0.2974751182645372
MLP,1,component_36,0.6438984073436633,0.5151586899833954,0.4120519439732497
MLP,1,component_37,0.7431613991311744,0.5955396453332216,0.34503178774531557
MLP,1,component_38,0.7412940391811856,0.5760702818505483,0.27299155496538713
MLP,1,component_39,0.7143179864738057,0.576193936833961,0.31260472629337743
MLP,1,component_40,0.718125359383433,0.5829021996594524,0.285198542886591
MLP,1,component_41,0.7328313912245594,0.5930686133425018,0.313051781750713
MLP,1,component_42,0.7885385704693929,0.6367359552900301,0.29644649521701705
MLP,1,component_43,0.679706447646654,0.5435973519165872,0.34274296022153294
MLP,1,component_44,0.6802354101345505,0.5451896928378023,0.3818232525103949
MLP,1,component_45,0.7000755637738434,0.5633098169256884,0.42901139635751795
MLP,1,component_46,0.7344355822029438,0.587887761137702,0.34314384031153056
MLP,1,component_47,0.7213496341001775,0.565835165928246,0.2530956277420548
MLP,1,component_48,0.7012988841001764,0.5572159883974215,0.3860051181531376
MLP,1,component_49,0.6845999393867799,0.5357118098516174,0.27515857947679007
MLP,1,component_50,0.6827246500691565,0.5478281843823827,0.5476657489476945
MLP,1,component_51,0.6851131386622753,0.5456171461746102,0.35883006276307516
MLP,1,component_52,0.710018561043999,0.5734494981887024,0.39283829818610133
MLP,1,component_53,0.6989757171365442,0.5584801404433243,0.29585480310609685
