model,horizon,component,rmse,mae,corr
MLP,1,component_53,0.7220051173736897,0.5711625084712222,0.2195593690679396
MLP,1,component_54,0.7274440040191399,0.5834919510639778,0.28854220242835715
MLP,1,component_55,0.7583622876211131,0.6072478076555875,0.2145730456502847
MLP,1,component_56,0.734038202244799,0.5916111263975642,0.30241942917389436
MLP,1,component_57,0.7650990437947233,0.606320815990615,0.17942995964390432
MLP,1,component_58,0.7579103096671248,0.5992667519293242,0.21496133716336743
MLP,1,component_59,0.7504661852993009,0.5967863747411226,0.20183163692607023
MLP,1,component_60,0.7494500940383296,0.59581060529453,0.2767984160227271
MLP,2,overall,0.7843048209998511,0.6261922500639674,0.24648852557549464
MLP,2,component_01,0.6880703986798236,0.5457413346491025,0.5951635802598957
MLP,2,component_02,0.7789805014934986,0.6080839548305002,0.48985539577166387
MLP,2,component_03,0.7907900156189218,0.6457651345960771,0.2936526834728868
MLP,2,component_04,0.7566932751649936,0.5938761119227073,0.28609112921899216
MLP,2,component_05,0.780946899207396,0.6146057451922573,0.18230172324299057
MLP,2,component_06,0.7846933470450965,0.6229027062581566,0.4453564352791159
MLP,2,component_07,0.8302323426016521,0.6685458381760598,0.17789064701619425
MLP,2,component_08,0.8352946789173689,0.6674866922459228,0.25623393153483687
MLP,2,component_09,0.7609480285431796,0.6047973403057643,0.40962557517286113
MLP,2,component_10,0.8260619399186124,0.6665345542825547,0.17430417624021177
MLP,2,component_11,0.8810015838382163,0.7073868961815769,0.26569252987230507
MLP,2,component_12,0.7830121499554714,0.6159171567588675,0.23266115371540344
MLP,2,component_13,0.8144471365895845,0.6364145568878478,0.16939585241194977
MLP,2,component_14,0.8167633298658866,0.6372754203954589,0.1940096522843515
MLP,2,component_15,0.8160835385996715,0.6545525126929342,0.23355993144168377
MLP,2,component_16,0.8318204850809383,0.6764886315700843,0.15951536985960282
MLP,2,component_17,0.8255191366888344,0.6615394081055612,0.08069548104649474
MLP,2,component_18,0.8247693978426951,0.6568287222495404,0.06148519619254258
MLP,2,component_19,0.7931639211897985,0.6380367253827127,0.18677086115399358
MLP,2,component_20,0.7654723270010131,0.604612289060359,0.21808407811951225
MLP,2,component_21,0.7924722023973081,0.635953206379285,0.2082135201978515
MLP,2,component_22,0.8227720902166475,0.6673995291537334,0.255885172489694
MLP,2,component_23,0.787006292065589,0.6391396216634955,0.2789767153801399
MLP,2,component_24,0.8235864975296081,0.6703013950647864,0.06060376605644074
MLP,2,component_25,0.7142146555056617,0.5792056480461604,0.30509132181589954
MLP,2,component_26,0.8173983582174675,0.6540122114107305,0.11942618855619647
MLP,2,component_27,0.8022243560525596,0.6356628653729672,0.13170380469159523
MLP,2,component_28,0.7148802047022225,0.569104605375441,0.26787033488745654
MLP,2,component_29,0.7377076623199126,0.6053924593994792,0.2295749946470806
MLP,2,component_30,0.8777943995058667,0.6960344985928713,0.22098270088638147
MLP,2,component_31,0.7928417692592103,0.6405387157000311,0.1384700559593582
MLP,2,component_32,0.8127481988474957,0.6612179295217114,0.16267873197553295
MLP,2,component_33,0.8025695099554978,0.642007576752203,0.13022285280137566
MLP,2,component_34,0.7807752172776735,0.6261131744350202,0.31352204280227486
MLP,2,component_35,0.8565662203669857,0.6789182253686287,0.06789603995478616
MLP,2,component_36,0.6968790923770273,0.5559826435102292,0.2553718614773145
MLP,2,component_37,0.7884156044195093,0.625924928652143,0.18606150107608482
MLP,2,component_38,0.7605951577122194,0.6004086912836583,0.18293051891702705
MLP,2,component_39,0.7752474728850174,0.6246442540449265,0.0764568213953644
MLP,2,component_40,0.7592451102566443,0.6162589606459142,0.10436439677142548
MLP,2,component_41,0.7953853611906045,0.6438004060414905,0.04210864674210344
MLP,2,component_42,0.8481353520928419,0.6866037865363294,0.0485550205254787
MLP,2,component_43,0.7065294882357883,0.5710595805717039,0.2572200557150779
MLP,2,component_44,0.7305000793870442,0.5853463145354139,0.17613456953317083
MLP,2,component_45,0.7478524765686668,0.5899874500823369,0.2674211023095947
MLP,2,component_46,0.7819487443527575,0.634897278224369,0.15450636881347646
MLP,2,component_47,0.7614855504961331,0.6012458943209421,0.08796336383788696
