source,target,lag,total_effect
46,28,1,0.049743077296988285
46,29,1,-0.1272366329773416
46,30,1,0.06187844209881052
46,31,1,-0.08035983230776256
46,33,1,0.08597752288669422
46,41,1,0.0874347689091585
46,54,1,-0.09350827320308072
46,56,1,-0.06675226482778217
46,59,1,0.046139055695230906
47,1,1,0.05633116072210627
47,3,1,0.06712679018302073
47,6,1,0.044850351818785196
47,12,1,0.06254932551997104
47,19,1,-0.06875106597910058
47,29,1,-0.07185376209258346
47,31,1,-0.1057871634086163
47,36,1,-0.06883676815059443
47,37,1,-0.06569580635377138
47,50,1,-0.0659872159981603
47,51,1,0.05730723057636716
48,2,1,0.051354865344056366
48,8,1,-0.062369735891594356
48,14,1,0.09937923982868897
48,49,1,0.06644153955196634
48,51,1,-0.054285686801975236
48,57,1,-0.0924263403005673
49,5,1,0.047886784938654475
49,14,1,-0.056235926547211344
49,18,1,0.08126892705415333
49,24,1,0.10991639298298712
49,29,1,-0.08606419142317819
49,45,1,-0.06838805367908335
49,48,1,-0.08682897291297774
49,50,1,0.08562816159643241
49,53,1,-0.09438832727329527
49,54,1,0.09862521142035856
50,6,1,-0.06199213861484714
50,23,1,-0.05627752593109938
50,24,1,0.07009912961355683
50,30,1,-0.11376901828776251
50,35,1,-0.06005598516617532
50,36,1,0.06850267807116835
50,37,1,0.05383990776378887
50,38,1,0.08066943773252874
50,40,1,0.0819988209580829
50,47,1,0.0486447582754011
50,51,1,-0.07027206112828827
50,54,1,0.0675410226788037
50,59,1,0.07034904676332028
51,9,1,0.0794845429571265
51,24,1,-0.08104597573126618
51,26,1,0.044243186914632145
51,48,1,0.10818106665001512
51,54,1,-0.08939652057371855
52,0,1,-0.0977806368307612
52,1,1,-0.09746749785285126
52,5,1,0.04865531052733899
52,7,1,0.1486636470816783
52,11,1,0.12719763955933022
52,17,1,-0.05521313849849591
52,18,1,-0.11853087418459098
52,19,1,-0.07947668036428379
52,30,1,0.08622887944349639
52,39,1,-0.05440277453176301
52,53,1,0.059935181336717394
53,19,1,-0.05975880254210369
53,25,1,0.0520041374960713
53,35,1,0.11488184556808205
53,40,1,-0.06291753651072894
53,46,1,-0.09229010807829587
54,12,1,-0.05640802571295477
54,19,1,0.08596501730071643
54,25,1,-0.05163128252561803
54,36,1,0.07222856611467846
54,42,1,-0.06899529585053375
54,47,1,-0.046075195485870045
54,48,1,-0.07880941662149599
54,59,1,-0.09295625160297534
55,24,1,-0.08590138384205902
55,25,1,-0.11608231096278225
55,32,1,0.04618641134775639
55,33,1,-0.04523806680801295
55,44,1,-0.06296186336550719
55,49,1,-0.08812713542375684
55,54,1,0.051380979333228355
56,2,1,0.0869062897117546
56,5,1,-0.06347300519792502
56,13,1,-0.04631597548139585
56,15,1,-0.06539732688406333
56,20,1,-0.122458875695744
56,23,1,0.09606382209423935
56,28,1,0.06401026592190671
56,30,1,0.05776001661557111
56,31,1,-0.06792514348258022
