source,target,lag,coefficient,p_value
28,28,1,0.3308422672244873,1.2002135806514233e-88
28,28,3,0.05907808341910896,0.0003388481700850244
28,28,4,0.04895279228766073,0.001992273756830383
29,28,1,0.09682674507225424,2.7622567011012546e-09
40,28,1,0.058893317245539686,0.000106177240722989
43,28,1,0.07811835284007138,5.888738305642487e-07
49,28,1,-0.06843002798071056,2.449663249374418e-05
51,28,1,0.0701673062314212,7.6478357436892e-06
52,28,1,0.11613753482762079,3.3341832507566395e-14
54,28,1,-0.06564094524580923,1.1478490188729859e-05
23,29,1,-0.09251325004831887,1.1923055595999013e-08
29,29,1,0.35697592845089937,6.856691823576952e-102
37,29,1,0.06758716872190729,2.663746816681817e-05
42,29,1,0.07545779527621545,8.968961780550236e-06
46,29,1,-0.053616824079321106,0.001063470580833434
54,29,1,0.044406512527694945,0.006961840615975696
57,29,2,0.09538536973040278,2.4161715129237715e-09
3,30,1,-0.15786307680653835,1.107777875314177e-19
4,30,1,-0.057843760827747476,0.001682371004914603
7,30,1,0.06349505093706578,0.00016523227180517724
14,30,1,-0.13000689338803256,9.603023116696432e-15
22,30,1,0.10290048223019152,3.7411478090076596e-09
28,30,1,0.07698880738314114,6.864565161479045e-06
30,30,1,0.20336975881378036,1.189842167664744e-32
30,30,2,0.11632745669565271,3.995355260105392e-12
31,30,1,0.11679304500951643,7.49798988498956e-13
34,30,1,0.08796436489262975,9.545105067679126e-08
42,30,1,0.043175292900085566,0.014738274413495614
46,30,1,0.09022628539928051,7.927248543302594e-08
47,30,1,-0.07299541995749254,1.3074316503931549e-05
52,30,1,-0.06105922345882875,0.0003011532152302356
55,30,1,0.05812392089376391,0.0004446339503045042
1,31,1,-0.14777735377467174,4.516775957199638e-14
1,31,2,0.07964910071732884,3.7198014054511615e-05
8,31,1,0.04693236349314777,0.0062283729029308675
15,31,2,-0.08215155966859525,6.029529264260443e-07
30,31,1,-0.050286225734920975,0.001988632231371904
31,31,1,0.2795449367727712,1.108373150201264e-61
31,31,4,0.1005682002352535,7.556761175361617e-10
38,31,1,0.05899784215894115,0.00035545896788306516
42,31,2,0.07708025211300752,3.862119000646194e-06
2,32,1,0.14306204280399726,5.155552266894421e-18
4,32,1,-0.08044809448686818,3.5359200063454635e-06
5,32,2,0.08322794283029991,4.318216538352143e-07
8,32,1,0.053612970973948876,0.001636439451654435
11,32,1,0.05550208849312925,0.000784516603946572
30,32,1,-0.09022833347991482,1.9618507994410278e-08
32,32,1,0.34953327457398,4.2727195751042764e-95
43,32,2,-0.0767446081330639,2.827156096856884e-06
33,33,1,0.36077285915242857,2.0564983049057286e-100
41,33,1,0.06277434366176637,0.00011091912402159903
49,33,1,-0.09412750004760337,7.063298639592716e-09
1,34,3,-0.06439351283971595,7.06525981537235e-05
3,34,1,0.07712433968706131,7.0106636947058676e-06
10,34,1,0.08515838271737161,1.9760260840411757e-07
21,34,1,-0.09320482328365022,2.3631896349848367e-08
22,34,1,0.05227481155572901,0.002040497711134377
27,34,1,-0.05250154029197249,0.002255622958680076
32,34,1,-0.08353260985888177,4.958955095054806e-07
34,34,1,0.29602652715156896,5.1042827444964075e-70
45,34,1,-0.05321382606406081,0.0013160920303054943
46,34,1,-0.089530105920984,4.0291377651239916e-08
48,34,1,-0.060821674494546354,0.00016545893638517995
52,34,1,0.08009699867202845,1.3106326671826868e-06
