dynamics,label,L,center,seed,repeat,noise_std,n_samples,source_dim,target_dim,baseline,baseline_ei_tm,baseline_metadata
identity,x,4.0,0.0,20768480,3,0.05,4096,1,1,identity,3.1482895450033923,"{""projection"": [[1.0]]}"
identity,x,4.0,0.0,20768497,4,0.05,4096,1,1,variance_matched,3.1364568071912826,"{""direction"": [1.0]}"
identity,x,4.0,0.0,20768497,4,0.05,4096,1,1,identity,3.13213487510503,"{""projection"": [[1.0]]}"
identity,x,4.0,0.0,20768514,5,0.05,4096,1,1,variance_matched,3.1194394984372735,"{""direction"": [1.0]}"
identity,x,4.0,0.0,20768514,5,0.05,4096,1,1,identity,3.140647638657115,"{""projection"": [[1.0]]}"
identity,x,4.0,0.0,20768531,6,0.05,4096,1,1,variance_matched,3.1517498068537932,"{""direction"": [1.0]}"
identity,x,4.0,0.0,20768531,6,0.05,4096,1,1,identity,3.1590362361220534,"{""projection"": [[1.0]]}"
identity,x,4.0,0.0,20768548,7,0.05,4096,1,1,variance_matched,3.1430337646355158,"{""direction"": [1.0]}"
identity,x,4.0,0.0,20768548,7,0.05,4096,1,1,identity,3.1323671630736993,"{""projection"": [[1.0]]}"
identity,x,4.0,0.0,20768565,8,0.05,4096,1,1,variance_matched,3.1377389657967165,"{""direction"": [1.0]}"
identity,x,4.0,0.0,20768565,8,0.05,4096,1,1,identity,3.1380101576577095,"{""projection"": [[1.0]]}"
identity,x,4.0,0.0,20768582,9,0.05,4096,1,1,variance_matched,3.1426962834371244,"{""direction"": [1.0]}"
identity,x,4.0,0.0,20768582,9,0.05,4096,1,1,identity,3.1410277317030753,"{""projection"": [[1.0]]}"
identity,x,4.0,1.0,20769429,0,0.05,4096,1,1,variance_matched,3.152151643093117,"{""direction"": [1.0]}"
identity,x,4.0,1.0,20769429,0,0.05,4096,1,1,identity,3.1508244056567754,"{""projection"": [[1.0]]}"
identity,x,4.0,1.0,20769446,1,0.05,4096,1,1,variance_matched,3.1356785597313954,"{""direction"": [1.0]}"
identity,x,4.0,1.0,20769446,1,0.05,4096,1,1,identity,3.13671031457276,"{""projection"": [[1.0]]}"
identity,x,4.0,1.0,20769463,2,0.05,4096,1,1,variance_matched,3.1404390681977974,"{""direction"": [1.0]}"
identity,x,4.0,1.0,20769463,2,0.05,4096,1,1,identity,3.134376298810089,"{""projection"": [[1.0]]}"
identity,x,4.0,1.0,20769480,3,0.05,4096,1,1,variance_matched,3.1440440934780187,"{""direction"": [1.0]}"
identity,x,4.0,1.0,20769480,3,0.05,4096,1,1,identity,3.143593284355091,"{""projection"": [[1.0]]}"
identity,x,4.0,1.0,20769497,4,0.05,4096,1,1,variance_matched,3.150944244076503,"{""direction"": [1.0]}"
identity,x,4.0,1.0,20769497,4,0.05,4096,1,1,identity,3.1394113837308177,"{""projection"": [[1.0]]}"
identity,x,4.0,1.0,20769514,5,0.05,4096,1,1,variance_matched,3.1446908058689065,"{""direction"": [1.0]}"
identity,x,4.0,1.0,20769514,5,0.05,4096,1,1,identity,3.1545176231830996,"{""projection"": [[1.0]]}"
identity,x,4.0,1.0,20769531,6,0.05,4096,1,1,variance_matched,3.128556580621639,"{""direction"": [1.0]}"
identity,x,4.0,1.0,20769531,6,0.05,4096,1,1,identity,3.124576752714014,"{""projection"": [[1.0]]}"
identity,x,4.0,1.0,20769548,7,0.05,4096,1,1,variance_matched,3.1413269780058837,"{""direction"": [1.0]}"
identity,x,4.0,1.0,20769548,7,0.05,4096,1,1,identity,3.143604926966623,"{""projection"": [[1.0]]}"
identity,x,4.0,1.0,20769565,8,0.05,4096,1,1,variance_matched,3.1719587820285025,"{""direction"": [1.0]}"
identity,x,4.0,1.0,20769565,8,0.05,4096,1,1,identity,3.1415438204953805,"{""projection"": [[1.0]]}"
identity,x,4.0,1.0,20769582,9,0.05,4096,1,1,variance_matched,3.14641687696073,"{""direction"": [1.0]}"
identity,x,4.0,1.0,20769582,9,0.05,4096,1,1,identity,3.1405566044347215,"{""projection"": [[1.0]]}"
identity,x,4.0,2.0,20770429,0,0.05,4096,1,1,variance_matched,3.126942640936675,"{""direction"": [1.0]}"
identity,x,4.0,2.0,20770429,0,0.05,4096,1,1,identity,3.1396025784019983,"{""projection"": [[1.0]]}"
identity,x,4.0,2.0,20770446,1,0.05,4096,1,1,variance_matched,3.1625621273893225,"{""direction"": [1.0]}"
identity,x,4.0,2.0,20770446,1,0.05,4096,1,1,identity,3.171064179320913,"{""projection"": [[1.0]]}"
identity,x,4.0,2.0,20770463,2,0.05,4096,1,1,variance_matched,3.159927731481325,"{""direction"": [1.0]}"
identity,x,4.0,2.0,20770463,2,0.05,4096,1,1,identity,3.1572202927383097,"{""projection"": [[1.0]]}"
identity,x,4.0,2.0,20770480,3,0.05,4096,1,1,variance_matched,3.1492847348390827,"{""direction"": [1.0]}"
identity,x,4.0,2.0,20770480,3,0.05,4096,1,1,identity,3.154929208684187,"{""projection"": [[1.0]]}"
identity,x,4.0,2.0,20770497,4,0.05,4096,1,1,variance_matched,3.1427540125535485,"{""direction"": [1.0]}"
identity,x,4.0,2.0,20770497,4,0.05,4096,1,1,identity,3.1369082973700033,"{""projection"": [[1.0]]}"
identity,x,4.0,2.0,20770514,5,0.05,4096,1,1,variance_matched,3.1471437412614804,"{""direction"": [1.0]}"
identity,x,4.0,2.0,20770514,5,0.05,4096,1,1,identity,3.1239592374775493,"{""projection"": [[1.0]]}"
identity,x,4.0,2.0,20770531,6,0.05,4096,1,1,variance_matched,3.1338009471450334,"{""direction"": [1.0]}"
identity,x,4.0,2.0,20770531,6,0.05,4096,1,1,identity,3.1263387212069116,"{""projection"": [[1.0]]}"
identity,x,4.0,2.0,20770548,7,0.05,4096,1,1,variance_matched,3.1428895903199034,"{""direction"": [1.0]}"
identity,x,4.0,2.0,20770548,7,0.05,4096,1,1,identity,3.153492543005523,"{""projection"": [[1.0]]}"
identity,x,4.0,2.0,20770565,8,0.05,4096,1,1,variance_matched,3.1504673508035492,"{""direction"": [1.0]}"
identity,x,4.0,2.0,20770565,8,0.05,4096,1,1,identity,3.1380984344540965,"{""projection"": [[1.0]]}"
identity,x,4.0,2.0,20770582,9,0.05,4096,1,1,variance_matched,3.1548326043322743,"{""direction"": [1.0]}"
identity,x,4.0,2.0,20770582,9,0.05,4096,1,1,identity,3.1600600126072766,"{""projection"": [[1.0]]}"
identity,x,4.0,3.0,20771429,0,0.05,4096,1,1,variance_matched,3.144171558001964,"{""direction"": [1.0]}"
identity,x,4.0,3.0,20771429,0,0.05,4096,1,1,identity,3.149057493072821,"{""projection"": [[1.0]]}"
identity,x,4.0,3.0,20771446,1,0.05,4096,1,1,variance_matched,3.148151326817251,"{""direction"": [1.0]}"
identity,x,4.0,3.0,20771446,1,0.05,4096,1,1,identity,3.1242678946622258,"{""projection"": [[1.0]]}"
identity,x,4.0,3.0,20771463,2,0.05,4096,1,1,variance_matched,3.116825157408975,"{""direction"": [1.0]}"
identity,x,4.0,3.0,20771463,2,0.05,4096,1,1,identity,3.1301013443902495,"{""projection"": [[1.0]]}"
identity,x,4.0,3.0,20771480,3,0.05,4096,1,1,variance_matched,3.160570564607476,"{""direction"": [1.0]}"
identity,x,4.0,3.0,20771480,3,0.05,4096,1,1,identity,3.1670290121393094,"{""projection"": [[1.0]]}"
