dynamics,label,L,seed,repeat,noise_mode,noise_std,n_samples,sample_count_mode,reference_l,source_dim,target_dim,baseline,baseline_ei_tm,baseline_metadata
identity,x,2.0,20262531,6,fixed,0.05,2048,fixed_density,4.0,1,1,variance_matched,2.461240099245705,"{""direction"": [1.0]}"
identity,x,2.0,20262531,6,fixed,0.05,2048,fixed_density,4.0,1,1,shuffled_target,0.00028160876934074414,{}
identity,x,2.0,20262531,6,fixed,0.05,2048,fixed_density,4.0,1,1,analytic_volume,0.6931471805599453,"{""source_dim"": 1}"
identity,x,2.0,20262548,7,fixed,0.05,2048,fixed_density,4.0,1,1,null,-0.0003472551568907804,{}
identity,x,2.0,20262548,7,fixed,0.05,2048,fixed_density,4.0,1,1,identity,2.4392411539616896,"{""projection"": [[1.0]]}"
identity,x,2.0,20262548,7,fixed,0.05,2048,fixed_density,4.0,1,1,gain_matched,2.453400129278945,"{""gain_matrix"": [[1.000000000000001]]}"
identity,x,2.0,20262548,7,fixed,0.05,2048,fixed_density,4.0,1,1,variance_matched,2.420499035981777,"{""direction"": [1.0]}"
identity,x,2.0,20262548,7,fixed,0.05,2048,fixed_density,4.0,1,1,shuffled_target,0.0007830841934445255,{}
identity,x,2.0,20262548,7,fixed,0.05,2048,fixed_density,4.0,1,1,analytic_volume,0.6931471805599453,"{""source_dim"": 1}"
identity,x,2.0,20262565,8,fixed,0.05,2048,fixed_density,4.0,1,1,null,-2.1486616817635194e-05,{}
identity,x,2.0,20262565,8,fixed,0.05,2048,fixed_density,4.0,1,1,identity,2.4466029980783706,"{""projection"": [[1.0]]}"
identity,x,2.0,20262565,8,fixed,0.05,2048,fixed_density,4.0,1,1,gain_matched,2.4454116473474206,"{""gain_matrix"": [[1.0000000000000004]]}"
identity,x,2.0,20262565,8,fixed,0.05,2048,fixed_density,4.0,1,1,variance_matched,2.455633090494662,"{""direction"": [1.0]}"
identity,x,2.0,20262565,8,fixed,0.05,2048,fixed_density,4.0,1,1,shuffled_target,-7.651245127918052e-05,{}
identity,x,2.0,20262565,8,fixed,0.05,2048,fixed_density,4.0,1,1,analytic_volume,0.6931471805599453,"{""source_dim"": 1}"
identity,x,2.0,20262582,9,fixed,0.05,2048,fixed_density,4.0,1,1,null,-0.0006295677186607827,{}
identity,x,2.0,20262582,9,fixed,0.05,2048,fixed_density,4.0,1,1,identity,2.4406711274309725,"{""projection"": [[1.0]]}"
identity,x,2.0,20262582,9,fixed,0.05,2048,fixed_density,4.0,1,1,gain_matched,2.43543767629961,"{""gain_matrix"": [[0.9999999999999998]]}"
identity,x,2.0,20262582,9,fixed,0.05,2048,fixed_density,4.0,1,1,variance_matched,2.4438706695631978,"{""direction"": [1.0]}"
identity,x,2.0,20262582,9,fixed,0.05,2048,fixed_density,4.0,1,1,shuffled_target,0.0012020277954131113,{}
identity,x,2.0,20262582,9,fixed,0.05,2048,fixed_density,4.0,1,1,analytic_volume,0.6931471805599453,"{""source_dim"": 1}"
identity,x,4.0,20263429,0,fixed,0.05,4096,fixed_density,4.0,1,1,null,-0.00032868318319982415,{}
identity,x,4.0,20263429,0,fixed,0.05,4096,fixed_density,4.0,1,1,identity,3.152113151966162,"{""projection"": [[1.0]]}"
identity,x,4.0,20263429,0,fixed,0.05,4096,fixed_density,4.0,1,1,gain_matched,3.142766544093644,"{""gain_matrix"": [[0.9999999999999997]]}"
identity,x,4.0,20263429,0,fixed,0.05,4096,fixed_density,4.0,1,1,variance_matched,3.1521373369092522,"{""direction"": [1.0]}"
identity,x,4.0,20263429,0,fixed,0.05,4096,fixed_density,4.0,1,1,shuffled_target,0.0001155830914818483,{}
identity,x,4.0,20263429,0,fixed,0.05,4096,fixed_density,4.0,1,1,analytic_volume,1.3862943611198906,"{""source_dim"": 1}"
identity,x,4.0,20263446,1,fixed,0.05,4096,fixed_density,4.0,1,1,null,-0.00021677618642055576,{}
identity,x,4.0,20263446,1,fixed,0.05,4096,fixed_density,4.0,1,1,identity,3.152345719102678,"{""projection"": [[1.0]]}"
identity,x,4.0,20263446,1,fixed,0.05,4096,fixed_density,4.0,1,1,gain_matched,3.1390451025702504,"{""gain_matrix"": [[0.9999999999999994]]}"
