region_index,region,target_burden,ace,acs,amce,direct_out_strength,direct_in_strength,ace_rank,acs_rank,amce_rank,requested_g,actual_g,tau,sample_count,whole_system_phi_eid,target_burden_sum,mean_rate_hz,stabilization_start_s,runge_path_scale_factor,runge_path_spectral_radius,runge_path_alpha,runge_path_max_length
10,ctx-lh-superiortemporal,0.6625603372621776,0.010408141335500885,0.0015100354049282433,1.2862386366512534e-05,0.7214122026876597,0.1010464075702587,1,80,9,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
68,ctx-rh-precentral,0.6510569222683658,0.009567066367673729,0.002370316927346392,1.8696465631714818e-05,0.6365162314466394,0.16082486908245586,2,62,1,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
74,ctx-rh-insula,0.6429723105269353,0.007885610284652317,0.0015293455346793476,9.843437919934042e-06,0.5454298753157971,0.10238273121910471,9,79,19,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
7,ctx-lh-inferiortemporal,0.6405054004945382,0.005800754404110272,0.0024589932517283058,1.1953251853123716e-05,0.38885432365687816,0.16857395277312887,19,59,12,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
55,ctx-rh-postcentral,0.6396432284873078,0.007992278081222718,0.002291167786070386,1.5050217618107692e-05,0.5166819493549117,0.15523686324688532,8,64,4,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
54,ctx-rh-inferiorparietal,0.6348539917807422,0.005379730466913536,0.0024485611688692434,1.1061643502162926e-05,0.3584573459987523,0.16816929587303917,23,60,15,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
47,ctx-rh-fusiform,0.6317999599557728,0.003862259533904745,0.0026223655941697496,8.485661431058922e-06,0.2713985902536446,0.1794253652741678,29,54,27,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
51,ctx-rh-superiortemporal,0.6213034038700078,0.009519678980455729,0.001335342395385131,1.0578065221856235e-05,0.642242057606816,0.09071503915729005,3,83,17,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
63,ctx-rh-paracentral,0.6188577759976955,0.0036697873546289355,0.0028931189111579014,8.877841766801831e-06,0.25832161093600703,0.19745567415858903,31,48,26,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
26,ctx-lh-parstriangularis,0.617039094865683,0.004952506508624452,0.003649457619378016,1.5530134960719892e-05,0.34188502895239187,0.25621228446610544,24,36,2,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
